Country,Population
росія*,146033315
Німеччина,83349300
Франція,68959599
Великобританія,67647112
Італія,59236213
Іспанія,46934632
Україна,40997699
Польща,38313035
Румунія,19401658
Нідерланди,17658445
Бельгія,11476279
Греція,10741165
Чехія,10693939
Швеція,10380491
Португалія,10347892
Угорщина,9769526
Білорусь,9349645
Австрія,8915382
Швейцарія,8570146
Сербія,6926705
Болгарія,6924733
Данія,5762082
Норвегія,5632000
Фінляндія,5526774
Словакія,5449176
Ірландія,4921500
Хорватія,4076246
Боснія і Герцеговина,3511372
Албанія,2845955
Литва,2790472
Молдова,2597100
Словенія,2123650
Македонія,2077132
Латвія,1908100
Естонія,1328360
Чорногорія,622218
Люксембург,613894
Мальта,493559
Ісландія,356991
Острів Мен,83314
Андорра,76177
Фарерські острови,51628
Ліхтенштейн,38378
Монако,38300
Сан-Маріно,34590
Гібралтар,33573
Аландські острови,29214
Ватикан,825
